"No.","Time","Source","Destination","Protocol","Length","Info"
"15300","67.459674","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15301","67.459674","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15302","67.459813","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","99","61400  >  443 Len=37"
"15303","67.460193","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15304","67.460193","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15305","67.460193","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15306","67.460193","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15307","67.460193","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15308","67.460775","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15309","67.460775","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15310","67.460775","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15311","67.460775","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15312","67.460944","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","99","61400  >  443 Len=37"
"15313","67.461298","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15314","67.461298","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15315","67.461298","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15316","67.461298","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15317","67.461298","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15318","67.461298","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15319","67.461773","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15320","67.461773","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15321","67.461773","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15322","67.462294","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15323","67.462294","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15324","67.462294","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15325","67.462294","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15326","67.462360","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","99","61400  >  443 Len=37"
"15327","67.462546","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15328","67.462546","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15329","67.462546","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15330","67.462546","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15331","67.462546","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15332","67.463454","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
